"Team Number","What kind of drivetrain do you have?","What kind of coral intake do you have? (if any)","What coral levels can you score?","What can you do with algae?","What kind of climb can your robot do?","Can you give a description of your autos?","What is your favorite part of your team's robot?","What are common failure points on your robot OR the most recent thing that has been fixed?","How much does your robot weigh?","How much drive practice do your drivers have (hours)?","Describe your robot/strategy in a few words","Notes/Comments","Take a picture",""
2471,"Swerve","Ground , Coral Station","L4 , L3 , L2 , L1","De-algae l2 , De-algae l3 , Score in Processor , Score in Net","Deep","Center l3, side auto l3 and algea","Quest","Slower at l4",115,"","L3, l2","","https://www.appsheet.com/image/getimageurl?appName=ReefscapeScoutingApp-560994&tableName=Pit%20Scouting&fileName=Pit%20Scouting_Images%2FZWZkjBkpJQtc9aYBxe40VH.Take%20a%20picture.152704.jpg&appVersion=1.100278&signature=220eef76a18cc0c7a25d5ade4bb9c29c0ba01a50984ef8a09c3960f9d4441e5f",""
360,"Swerve","Coral Station","L4 , L3 , L2","De-algae l2 , De-algae l3 , Score in Processor , Score in Net","Deep",3,"Net scoring","No",111.3,"","L4, new alg strat","","https://www.appsheet.com/image/getimageurl?appName=ReefscapeScoutingApp-560994&tableName=Pit%20Scouting&fileName=Pit%20Scouting_Images%2FvYGYHmCCe38LzMxLTIiEHy.Take%20a%20picture.153022.jpg&appVersion=1.100278&signature=3b0403303291f93ab4a9ec306d0998da91939b970bf40d932594c942485ad08e",""
488,"Swerve","Coral Station","L4 , L3 , L2","De-algae l2 , De-algae l3 , Score in Net","",2.5,"Reef alignment","Match schedule",112,"","Coral cycles, alg","","https://www.appsheet.com/image/getimageurl?appName=ReefscapeScoutingApp-560994&tableName=Pit%20Scouting&fileName=Pit%20Scouting_Images%2FHXkctAWZI2I48pqInZJDad.Take%20a%20picture.153433.jpg&appVersion=1.100278&signature=87fe9a6e07538428813d02fbad8b9f1be34125938f815203f8fda02eeedcfd77",""
492,"Swerve","Coral Station","L4 , L3 , L2 , L1","De-algae l2 , De-algae l3","Deep","Middle 2 l4, both sides","Climber","",114.9,10,"Cycle l4","","https://www.appsheet.com/image/getimageurl?appName=ReefscapeScoutingApp-560994&tableName=Pit%20Scouting&fileName=Pit%20Scouting_Images%2FIffI8Q0U4nPxOK4SPD81Ga.Take%20a%20picture.153901.jpg&appVersion=1.100278&signature=d10734dfd5f80fb20b4944a652c2c1e82fb51bc5fee949ccfc324d5700cc57af",""
948,"Swerve","Ground , Coral Station","L4 , L3 , L2 , L1","De-algae l2 , De-algae l3","Deep",2,"Climb","Na",113,80,"Offense,","Offense and defense drive teams are different","https://www.appsheet.com/image/getimageurl?appName=ReefscapeScoutingApp-560994&tableName=Pit%20Scouting&fileName=Pit%20Scouting_Images%2FAV5iqLeKIn1roMdxVHjc5Y.Take%20a%20picture.154208.jpg&appVersion=1.100278&signature=0c948e58d6ce87693108707626bd9db7c6156af769bb481c5d2e08a38e3153aa",""
9567,"Tank","Coral Station","L1","De-algae l2 , De-algae l3 , Score in Processor","Shallow","L1 and remove from reef","Algae intake","",103.4,"","Smaller tasks off of larger teams shoulders. Flex","DONUT CLIMB :)","https://www.appsheet.com/image/getimageurl?appName=ReefscapeScoutingApp-560994&tableName=Pit%20Scouting&fileName=Pit%20Scouting_Images%2FCJtV7Er18gSuImwpasoqQj.Take%20a%20picture.215150.jpg&appVersion=1.100278&signature=0a52d2b93598148465aa3e025d9df98e470137267f1bb328148691c6e6bf259c",""
955,"Swerve","Coral Station","L4 , L3 , L2 , L1","De-algae l2 , De-algae l3","Deep",4,"Auto align, end effector","A lot of different issues last comp, should be fixed. Beam break issue that is fixed, coral gets stuck sometimes",95,"","Cycle coral","Maybe deep climbs","https://www.appsheet.com/image/getimageurl?appName=ReefscapeScoutingApp-560994&tableName=Pit%20Scouting&fileName=Pit%20Scouting_Images%2Fff6cGN40Ek02evQ0mjfdCf.Take%20a%20picture.154629.jpg&appVersion=1.100278&signature=ba90b052177c49606226eac3a549d3dd3474da0f2c12ac94e25b682ccc270478",""
2976,"Swerve","Coral Station","L4 , L3 , L2 , L1","De-algae l2 , De-algae l3","Deep","Left side 1+ 2, middle","Elevator","Odometry",102,"","L4, down","","https://www.appsheet.com/image/getimageurl?appName=ReefscapeScoutingApp-560994&tableName=Pit%20Scouting&fileName=Pit%20Scouting_Images%2F59Eb82qPhmtvny5AZKPa8T.Take%20a%20picture.161819.jpg&appVersion=1.100278&signature=caba5ec496aa6283bab0f1e17fd440a1dbbe8a3f0bfe3a3922d9753816cc535f",""
3826,"Swerve","","L1","De-algae l2 , De-algae l3 , Score in Processor","Deep","L1 variants, middle, offset","Climb","Can issues 1st event,",105.2,"","Algae, de algifying,, defense","","https://www.appsheet.com/image/getimageurl?appName=ReefscapeScoutingApp-560994&tableName=Pit%20Scouting&fileName=Pit%20Scouting_Images%2Fz35cxSVXwMzpgOPHCC12KQ.Take%20a%20picture.162224.jpg&appVersion=1.100278&signature=0fe0619c28e08b353fa51fe1af973f6721032f564635c658c9ecb849cd198c6d",""
4131,"Swerve","","","Score in Processor","Deep","Move forward, l1","Intake","",105,"","Ground intake, stay away from source, processor cycles","","https://www.appsheet.com/image/getimageurl?appName=ReefscapeScoutingApp-560994&tableName=Pit%20Scouting&fileName=Pit%20Scouting_Images%2F9q76YkvjTXmbpFEjEKrkXH.Take%20a%20picture.162607.jpg&appVersion=1.100278&signature=11f34c19cd374b63e0a008c42876b74093a861d515075318c5ff5a8ace263bc3",""
5468,"Swerve","Coral Station","L4 , L3 , L2","De-algae l2 , De-algae l3","Deep",3,"L4 scoring","L1",113.8,35,3,"","https://www.appsheet.com/image/getimageurl?appName=ReefscapeScoutingApp-560994&tableName=Pit%20Scouting&fileName=Pit%20Scouting_Images%2FuuUyz29h70VfrLDx7KQRLM.Take%20a%20picture.163201.jpg&appVersion=1.100278&signature=f9d0e9a64a56dedb78c1f75b7af90dc40b76760db9b7b6306883821cc890b80f",""
9036,"Swerve","Ground , Coral Station","L4 , L3 , L2 , L1","De-algae l2 , De-algae l3","",1,"Ground intake","Software",110,"","Coral cycles, ground intake","","https://www.appsheet.com/image/getimageurl?appName=ReefscapeScoutingApp-560994&tableName=Pit%20Scouting&fileName=Pit%20Scouting_Images%2FG9eA4gIIcxE0hPOSZ356ZA.Take%20a%20picture.163440.jpg&appVersion=1.100278&signature=76ef8fd8acbefcab5aa6a3e447549c7e63e903aeb50bf116d08d82d181a57332",""
7034,"Swerve","Coral Station","L4 , L3 , L2 , L1","De-algae l2 , De-algae l3","Deep",321,"Elevator end effector","No, climb was iffy but works",112,"","Split read, l4","","https://www.appsheet.com/image/getimageurl?appName=ReefscapeScoutingApp-560994&tableName=Pit%20Scouting&fileName=Pit%20Scouting_Images%2Fxswh6JB66BlTVvB7JztdyZ.Take%20a%20picture.163925.jpg&appVersion=1.100278&signature=887a73459742e5cf2fda66aa9fb1a5c433003eb761a0f60afd0d0e1ae0812b8b",""
3218,"Swerve","Coral Station","L4 , L3 , L2 , L1","De-algae l2 , De-algae l3 , Score in Processor","Deep",3,"Elevator","No",114.8,"","Coral cycles, alg sometimes","","https://www.appsheet.com/image/getimageurl?appName=ReefscapeScoutingApp-560994&tableName=Pit%20Scouting&fileName=Pit%20Scouting_Images%2FDfuZ2dG9SJd1J4X9tLweZK.Take%20a%20picture.164323.jpg&appVersion=1.100278&signature=e18ede3a5a90c2010d4c7ac3128e1ffdbeced2edf128a9c6e9df0d4b61287d93",""
2557,"Swerve","Ground","L1","Score in Processor","Deep",2,"Intake","None at this comp, most has been fixed",113.6,"","Coral, algae, defense, depends","","https://www.appsheet.com/image/getimageurl?appName=ReefscapeScoutingApp-560994&tableName=Pit%20Scouting&fileName=Pit%20Scouting_Images%2FMSXUfvY8u6VaHwqJdNLgPE.Take%20a%20picture.164650.jpg&appVersion=1.100278&signature=f18b84f8adb68353124e9f614f5a3bcdb2aab9e54ead036e51676f92fca5cf4c",""
9446,"Swerve","Coral Station","L4 , L3 , L2 , L1","De-algae l2 , De-algae l3 , Score in Processor","","None","Elevator","Alignment",101,"","Whatever is needed, offense, defense","","https://www.appsheet.com/image/getimageurl?appName=ReefscapeScoutingApp-560994&tableName=Pit%20Scouting&fileName=Pit%20Scouting_Images%2FN1Sn96yHi4OApUpW4umfJI.Take%20a%20picture.165405.jpg&appVersion=1.100278&signature=a422b86e79f01dcb70886f79f8b105f6ccfbad14d8a8e373a032b37b33ace2e5",""
3674,"Swerve","Coral Station","L4 , L3 , L2","De-algae l2 , De-algae l3","Deep",3,"Clovers in design","Incosistent auto and l1",109,36,"Cycle l3","","https://www.appsheet.com/image/getimageurl?appName=ReefscapeScoutingApp-560994&tableName=Pit%20Scouting&fileName=Pit%20Scouting_Images%2F7YPy3QIdlGykjOHhCM7nOi.Take%20a%20picture.170731.jpg&appVersion=1.100278&signature=d7405bfbb7693111c242a8e436d2cb11d15fd457957644252b788be107339f9b",""
957,"Swerve","Coral Station","L4 , L3 , L2 , L1","De-algae l2 , De-algae l3","Deep",3,"Bling","Wheels",110.4,"","Coral cycles","","https://www.appsheet.com/image/getimageurl?appName=ReefscapeScoutingApp-560994&tableName=Pit%20Scouting&fileName=Pit%20Scouting_Images%2F8Siy12MdDD2z3iYMY7dQFk.Take%20a%20picture.161509.jpg&appVersion=1.100278&signature=3efed0d8e633aeef1d3bc52786b83ccf5e36dedc93c65643735ec13bae50788b",""
6443,"Swerve","Coral Station","L4 , L3 , L2","De-algae l2 , De-algae l3","Deep",2,"It has three degrees of freedom","Rope pulley on elevator which we fixed and it works well now",114,350,"Offensive, unless things go wrong","L1 bit finicky","https://www.appsheet.com/image/getimageurl?appName=ReefscapeScoutingApp-560994&tableName=Pit%20Scouting&fileName=Pit%20Scouting_Images%2FXpnmpWUJGOZVrRpSHWS23S.Take%20a%20picture.220725.jpg&appVersion=1.100278&signature=527059a626b7d99683443c4008a2140f2f95af39dfddba4469067f0a1d760cd0",""
